#reqtime=1732320360.978,2024-11-23 00:06:00.978,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=360&dataTypes.0=1104.7235723519698&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,OUTL_east,OUTL_north,OUTL_up
1220788800.000,2008-09-07 12:00:00,        -0.289472,         0.188434,         0.409858
1220875200.000,2008-09-08 12:00:00,        -0.287306,         0.186798,         0.410207
1220961600.000,2008-09-09 12:00:00,        -0.288993,         0.189621,         0.410393
1221048000.000,2008-09-10 12:00:00,        -0.287634,         0.189117,         0.410459
1221134400.000,2008-09-11 12:00:00,        -0.286759,         0.189609,         0.403972
1221220800.000,2008-09-12 12:00:00,        -0.286856,         0.191205,         0.412148
1221307200.000,2008-09-13 12:00:00,        -0.286405,         0.192980,         0.399201
1221393600.000,2008-09-14 12:00:00,        -0.287476,         0.193390,         0.409622
1221480000.000,2008-09-15 12:00:00,        -0.284066,         0.194544,         0.403756
1221566400.000,2008-09-16 12:00:00,        -0.285159,         0.191357,         0.410158
1221652800.000,2008-09-17 12:00:00,        -0.285553,         0.192269,         0.409308
1221739200.000,2008-09-18 12:00:00,        -0.284624,         0.192948,         0.417465
1221825600.000,2008-09-19 12:00:00,        -0.286100,         0.191411,         0.407091
1221912000.000,2008-09-20 12:00:00,        -0.284213,         0.193419,         0.410644
1221998400.000,2008-09-21 12:00:00,        -0.285274,         0.194021,         0.409222
1222084800.000,2008-09-22 12:00:00,        -0.286742,         0.191516,         0.401514
1222171200.000,2008-09-23 12:00:00,        -0.286287,         0.188634,         0.421050
1222257600.000,2008-09-24 12:00:00,        -0.286652,         0.193265,         0.402408
1222344000.000,2008-09-25 12:00:00,        -0.284305,         0.193039,         0.408960
1222430400.000,2008-09-26 12:00:00,        -0.283511,         0.193914,         0.405594
1222516800.000,2008-09-27 12:00:00,        -0.282593,         0.192047,         0.417816
1222603200.000,2008-09-28 12:00:00,        -0.282933,         0.190364,         0.420594
1222689600.000,2008-09-29 12:00:00,        -0.283942,         0.192256,         0.409298
1222776000.000,2008-09-30 12:00:00,        -0.283935,         0.191883,         0.398487
1222862400.000,2008-10-01 12:00:00,        -0.281443,         0.190823,         0.404364
1222948800.000,2008-10-02 12:00:00,        -0.281276,         0.189143,         0.400632
1223035200.000,2008-10-03 12:00:00,        -0.286247,         0.190635,         0.405243
1223121600.000,2008-10-04 12:00:00,        -0.286075,         0.191452,         0.410589
1223208000.000,2008-10-05 12:00:00,        -0.285251,         0.190310,         0.404893
1223294400.000,2008-10-06 12:00:00,        -0.288086,         0.186503,         0.408939
1223380800.000,2008-10-07 12:00:00,        -0.284504,         0.187606,         0.405393
1223467200.000,2008-10-08 12:00:00,        -0.283578,         0.188644,         0.412037
1223553600.000,2008-10-09 12:00:00,        -0.282079,         0.189264,         0.399378
1223640000.000,2008-10-10 12:00:00,        -0.285456,         0.190558,         0.397816
1223726400.000,2008-10-11 12:00:00,        -0.285453,         0.189935,         0.410605
1223812800.000,2008-10-12 12:00:00,        -0.285867,         0.191942,         0.401938
1223899200.000,2008-10-13 12:00:00,        -0.284983,         0.191245,         0.410388
1223985600.000,2008-10-14 12:00:00,        -0.283799,         0.194046,         0.403809
1224072000.000,2008-10-15 12:00:00,        -0.284358,         0.191814,         0.403965
1224158400.000,2008-10-16 12:00:00,        -0.283140,         0.191187,         0.399199
1224244800.000,2008-10-17 12:00:00,        -0.288147,         0.185905,         0.405838
1224331200.000,2008-10-18 12:00:00,        -0.287611,         0.188270,         0.401902
1224417600.000,2008-10-19 12:00:00,        -0.285694,         0.191336,         0.403133
1224504000.000,2008-10-20 12:00:00,        -0.281551,         0.193223,         0.397721
1224590400.000,2008-10-21 12:00:00,        -0.279848,         0.190245,         0.390870
1224676800.000,2008-10-22 12:00:00,        -0.282929,         0.190290,         0.397995
1230811200.000,2009-01-01 12:00:00,        -0.277224,         0.194694,         0.361428
1230897600.000,2009-01-02 12:00:00,        -0.274332,         0.187041,         0.376176
1230984000.000,2009-01-03 12:00:00,        -0.279246,         0.187105,         0.372145
1231070400.000,2009-01-04 12:00:00,        -0.274287,         0.190375,         0.363354
1231156800.000,2009-01-05 12:00:00,        -0.277454,         0.191382,         0.364057
1231243200.000,2009-01-06 12:00:00,        -0.277774,         0.193035,         0.360815
1231329600.000,2009-01-07 12:00:00,        -0.277529,         0.188910,         0.364770
1231416000.000,2009-01-08 12:00:00,        -0.276529,         0.188845,         0.361144
1231502400.000,2009-01-09 12:00:00,        -0.275608,         0.190201,         0.372502
1231588800.000,2009-01-10 12:00:00,        -0.276732,         0.191461,         0.370131
1231675200.000,2009-01-11 12:00:00,        -0.277947,         0.190365,         0.364648
1231761600.000,2009-01-12 12:00:00,        -0.277376,         0.190403,         0.365552
1231848000.000,2009-01-13 12:00:00,        -0.275523,         0.189090,         0.369038
1231934400.000,2009-01-14 12:00:00,        -0.277157,         0.191049,         0.356403
1232020800.000,2009-01-15 12:00:00,        -0.276169,         0.187127,         0.368917
1232107200.000,2009-01-16 12:00:00,        -0.285301,         0.188653,         0.367442
1232193600.000,2009-01-17 12:00:00,        -0.279516,         0.192526,         0.361953
1232280000.000,2009-01-18 12:00:00,        -0.276063,         0.189393,         0.370302
1232366400.000,2009-01-19 12:00:00,        -0.276325,         0.189370,         0.371439
1232452800.000,2009-01-20 12:00:00,        -0.276348,         0.189496,         0.367757
1232539200.000,2009-01-21 12:00:00,        -0.274897,         0.187745,         0.374994
1232625600.000,2009-01-22 12:00:00,        -0.277759,         0.185580,         0.381904
1232712000.000,2009-01-23 12:00:00,        -0.282206,         0.186071,         0.366917
1232798400.000,2009-01-24 12:00:00,        -0.280433,         0.187813,         0.367627
1232884800.000,2009-01-25 12:00:00,        -0.278213,         0.187844,         0.363604
1232971200.000,2009-01-26 12:00:00,        -0.275826,         0.189605,         0.360119
1233057600.000,2009-01-27 12:00:00,        -0.276161,         0.189285,         0.353636
1233144000.000,2009-01-28 12:00:00,        -0.277737,         0.188296,         0.357470
1233230400.000,2009-01-29 12:00:00,        -0.276455,         0.187868,         0.357484
1233316800.000,2009-01-30 12:00:00,        -0.276952,         0.188385,         0.356395
1233403200.000,2009-01-31 12:00:00,        -0.276496,         0.188696,         0.355982
1233489600.000,2009-02-01 12:00:00,        -0.276752,         0.189340,         0.353344
1233576000.000,2009-02-02 12:00:00,        -0.276477,         0.187975,         0.362788
1233662400.000,2009-02-03 12:00:00,        -0.276465,         0.185030,         0.356041
1233748800.000,2009-02-04 12:00:00,        -0.276611,         0.193781,         0.360359
1233835200.000,2009-02-05 12:00:00,        -0.276390,         0.190445,         0.355594
1233921600.000,2009-02-06 12:00:00,        -0.276219,         0.188862,         0.355236
1234008000.000,2009-02-07 12:00:00,        -0.274996,         0.188412,         0.356166
1234094400.000,2009-02-08 12:00:00,        -0.277318,         0.185668,         0.353299
1234180800.000,2009-02-09 12:00:00,        -0.277127,         0.189206,         0.360506
