#reqtime=1732323739.116,2024-11-23 01:02:19.116,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=358&dataTypes.0=1132.0759046105668&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,NPIT_east,NPIT_north,NPIT_up
1221220800.000,2008-09-12 12:00:00,        -0.048496,         0.177946,         0.279834
1221307200.000,2008-09-13 12:00:00,        -0.047751,         0.177365,         0.259772
1221393600.000,2008-09-14 12:00:00,        -0.048270,         0.177442,         0.276767
1221480000.000,2008-09-15 12:00:00,        -0.044902,         0.179537,         0.271087
1221566400.000,2008-09-16 12:00:00,        -0.047717,         0.178852,         0.274522
1221652800.000,2008-09-17 12:00:00,        -0.047860,         0.176009,         0.262948
1221739200.000,2008-09-18 12:00:00,        -0.049067,         0.175504,         0.280424
1221825600.000,2008-09-19 12:00:00,        -0.048626,         0.176392,         0.273846
1221912000.000,2008-09-20 12:00:00,        -0.047831,         0.177974,         0.261123
1221998400.000,2008-09-21 12:00:00,        -0.047125,         0.175000,         0.270645
1222084800.000,2008-09-22 12:00:00,        -0.047654,         0.175979,         0.270801
1222171200.000,2008-09-23 12:00:00,        -0.046277,         0.174346,         0.273740
1222257600.000,2008-09-24 12:00:00,        -0.048913,         0.177260,         0.267109
1222344000.000,2008-09-25 12:00:00,        -0.046510,         0.176959,         0.278040
1222430400.000,2008-09-26 12:00:00,        -0.048342,         0.177366,         0.271603
1222516800.000,2008-09-27 12:00:00,        -0.046748,         0.177897,         0.287689
1222603200.000,2008-09-28 12:00:00,        -0.046369,         0.174458,         0.282641
1222689600.000,2008-09-29 12:00:00,        -0.046707,         0.175872,         0.279787
1222776000.000,2008-09-30 12:00:00,        -0.046249,         0.174283,         0.264825
1222862400.000,2008-10-01 12:00:00,        -0.045879,         0.174297,         0.272996
1222948800.000,2008-10-02 12:00:00,        -0.045736,         0.173984,         0.264460
1223035200.000,2008-10-03 12:00:00,        -0.046696,         0.176123,         0.258909
1223121600.000,2008-10-04 12:00:00,        -0.044241,         0.170580,         0.252219
